# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0097019; -0.5801947; -1.6151808; 0.0188487; 5.1671047; 1.6184687
0.1996851; 0.1897058; -0.5886805; -1.6114971; 0.0180597; 5.2292771; 1.6057594
0.3993702; 0.3892306; -0.5964512; -1.6079844; 0.0169921; 5.2902393; 1.5907369
0.5990553; 0.5888882; -0.6035490; -1.6047217; 0.0156737; 5.3499462; 1.5473560
0.7987404; 0.7883706; -0.6100148; -1.6017136; 0.0144744; 5.4073924; 1.5350061
0.9984255; 0.9879780; -0.6159072; -1.5989398; 0.0133292; 5.4637833; 1.5182275
1.1981106; 1.1876684; -0.6212698; -1.5963858; 0.0122438; 5.5189911; 1.4795166
1.3977957; 1.3872076; -0.6261397; -1.5940418; 0.0112505; 5.5722650; 1.4674934
1.5974808; 1.5868641; -0.6305638; -1.5918916; 0.0103008; 5.6246076; 1.4482981
1.7971659; 1.7865613; -0.6345775; -1.5899242; 0.0094008; 5.6757923; 1.4149091
1.9968510; 1.9861431; -0.6382139; -1.5881325; 0.0085576; 5.7253550; 1.4033613
2.1965361; 2.1858335; -0.6415110; -1.5865058; 0.0077433; 5.7740931; 1.3815582
2.3962212; 2.3855204; -0.6444990; -1.5850374; 0.0069634; 5.8216754; 1.3539820
2.5959063; 2.5851359; -0.6472082; -1.5837228; 0.0062124; 5.8679336; 1.3430407
2.7955914; 2.7848509; -0.6496709; -1.5825557; 0.0054774; 5.9134605; 1.3186792
2.9952765; 2.9845183; -0.6519146; -1.5815338; 0.0047600; 5.9578231; 1.2970819
3.1949616; 3.1841616; -0.6539681; -1.5806541; 0.0040548; 6.0011392; 1.2867629
3.3946467; 3.3838949; -0.6558609; -1.5799138; 0.0033600; 6.0438040; 1.2597818
3.5943318; 3.5835391; -0.6576187; -1.5793107; 0.0026823; 6.0852844; 1.2436175
3.7940170; 3.7832057; -0.6592697; -1.5788411; 0.0020315; 6.1259570; 1.2336228
3.9937021; 3.9829519; -0.6608404; -1.5784984; 0.0014032; 6.1660378; 1.2028338
4.1933872; 4.1825734; -0.6623536; -1.5782729; 0.0008572; 6.2048689; 1.1909680
4.3930723; 4.3822593; -0.6638330; -1.5781528; 0.0003789; 6.2430790; 1.1772343
4.5927574; 4.5819848; -0.6652974; -1.5781178; -0.0000276; 6.2806200; 1.1467716
4.7924425; 4.7816156; -0.6667612; -1.5781465; -0.0002441; 6.3169750; 1.1354888
4.9921276; 4.9813162; -0.6682352; -1.5782135; -0.0003971; 6.3527674; 1.1148602
5.1918127; 5.1810091; -0.6697248; -1.5782996; -0.0004656; 6.3877145; 1.0898300
5.3914978; 5.3806621; -0.6712323; -1.5783927; -0.0004486; 6.4216930; 1.0775486
5.5911829; 5.5803730; -0.6727580; -1.5784753; -0.0002639; 6.4551129; 1.0478703
5.7908680; 5.7800402; -0.6742917; -1.5784552; 0.0004638; 6.4874472; 1.0123753
5.9905531; 5.9797110; -0.6758046; -1.5782357; 0.0020479; 6.5185338; 0.9876223
6.1902382; 6.1794289; -0.6772358; -1.5776192; 0.0042071; 6.5487182; 0.8953135
6.3899233; 6.3790804; -0.6784906; -1.5764251; 0.0077524; 6.5759616; 0.8225800
6.5896084; 6.5787658; -0.6794358; -1.5745013; 0.0117588; 6.6008928; 0.7431752
6.7892935; 6.7784742; -0.6799113; -1.5717034; 0.0162580; 6.6233366; 0.5642485
6.9889786; 6.9781352; -0.6797402; -1.5680367; 0.0204412; 6.6403262; 0.4831535
7.1886637; 7.1778268; -0.6787543; -1.5635546; 0.0241510; 6.6548395; 0.3515129
7.3883488; 7.3775033; -0.6768083; -1.5584554; 0.0269155; 6.6653786; -0.0241637
7.5880339; 7.5771178; -0.6738020; -1.5530491; 0.0263946; 6.6646547; -0.8772878
7.7877190; 7.7768018; -0.6697424; -1.5479406; 0.0250632; 6.6383175; -4.7176000
